blosum30	blosum60
0.04209122	0.04332301
0.6029565	0.1062662
0.9991361	0.22496566
0.11879945	0.017116964
0.0032060742	0.08715248
0.93195945	0.50370735
0.966117	0.9960685
0.074886054	0.01783052
0.21153602	0.037514508
0.22665814	0.9944929
0.7756933	0.6933034
0.0019812584	0.0021674633
0.7345638	0.011952221
0.019150913	0.109279275
0.9964887	0.8651143
0.04069799	0.0019004345
0.93540835	0.9222244
0.70577264	0.8454455
0.9285673	0.26535615
0.92299443	0.9538556
0.91983104	0.9787128
0.52854556	0.19193926
0.9328003	0.68803483
0.8078053	0.838963
0.9510236	0.9890807
0.22291893	0.480453
0.99131566	0.8767804
0.8449096	0.42354786
0.3034882	0.7297451
0.53071433	0.9368746
0.77184045	0.9386333
0.2613047	0.91337204
0.72697663	0.95004046
0.6698507	0.018427908
0.16017449	0.1869885
0.78666735	0.95380783
0.98520255	0.32346776
0.8945287	0.030689657
1.3498473e-06	1.17535465e-05
0.60727656	0.95095885
0.9823475	0.8238683
0.9624665	0.977203
0.021329105	0.64939135
0.8620244	0.9978702
0.19935504	0.0041174293
0.3928138	0.89071524
0.006507665	0.8220669
0.9991347	0.9842504
0.14483821	0.07610777
0.85169375	0.58333486
0.13009289	0.6498543
0.8983224	0.8412143
0.7906515	0.90784246
0.89962435	0.95606554
0.6900794	0.9721608
0.8720678	0.6173094
0.98637265	0.9669473
0.16360855	0.0044321716
0.00043550134	0.0054807663
0.9770427	0.8806354
0.71083593	0.86135197
0.9507682	0.9383539
0.9768907	0.9299921
0.69672745	0.8279964
0.92928874	0.86269593
0.19204074	0.60511005
0.59803164	0.4930892
0.87870705	0.67454666
0.0008609593	0.075491965
0.4284442	0.48363924
0.0076104105	0.012721717
0.97265565	0.4779467
0.025958836	0.014989346
0.9946084	0.01107201
0.005634755	0.00023508072
0.07960233	0.100221425
0.85893106	0.9888585
0.99822044	0.9936991
0.7911586	0.6357055
0.80766195	0.7764064
0.42056873	0.341206
0.018762767	0.043293834
8.688423e-05	0.05756879
0.94364274	0.9887396
0.988443	0.9822922
0.08522686	0.01700735
0.8743435	0.97747076
0.021971077	0.19377121
0.3197806	0.26887798
0.60842127	0.84273016
0.5895278	0.00081822276
0.21691397	0.9760087
0.9431447	0.9773632
0.85959834	0.9584235
0.97426367	0.94967437
0.9647279	0.98956215
0.016053647	0.61117
0.056277007	0.00096702576
0.39836696	0.0019529164
0.019104987	0.0013376474
0.0003439486	0.60355425
0.0069788992	0.00013315678
0.9945562	0.9022285
0.49663395	0.91399705
0.98887444	0.88669926
0.51321846	0.8896162
0.96608365	0.97260225
0.71521646	0.8556112
0.03656906	0.00036677718
0.66330457	0.8272113
0.99798286	0.9870428
0.9778758	0.9803469
0.84673345	0.93453854
0.73169667	0.08586222
0.007129103	6.9809807e-06
0.92728853	0.8758512
0.6895507	0.94643104
0.96470416	0.20441172
0.0011018515	0.07385582
0.9876913	0.7539381
0.0058677495	0.48780826
0.54272693	0.66922873
0.6956623	0.40284422
0.42559195	0.401671
0.96171844	0.70546275
0.8829476	0.519382
0.9673617	0.70616543
0.8748826	0.66181123
0.9917798	0.98308897
0.41423625	0.8823265
0.77459	0.3848632
0.6497952	0.8844008
0.005135983	0.22169825
0.16979778	0.007629901
0.6051509	0.015975118
0.99823415	0.97174037
0.80720055	0.19596305
0.3080554	0.89447725
0.005554706	0.002603799
0.14033812	0.9703088
0.014485747	0.16958705
0.07384238	0.0049831867
0.0039957464	0.4266828
0.0051324666	0.0003927052
0.9925004	0.4257267
0.023081064	0.18218556
0.9748932	0.986152
0.019982725	0.00038906932
0.13000596	0.019563824
0.8991873	0.0025587976
0.64823055	0.9558028
0.0021953285	0.00023326278
0.0017815828	0.34583485
0.6430087	0.92145324
0.00061029196	0.04504299
0.005572289	0.0032538474
0.342103	0.0072532
0.9710952	0.943732
0.9864324	0.74416316
0.53889	0.6222527
0.0063370466	0.006912887
0.5264548	0.653585
0.917456	0.9608666
