label	aaindex	reslike	combined
0.0	1.4948201e-08	0.0049369335	0.0024684742
0.0	4.064345e-05	0.7853757	0.39270818
0.0	0.3297763	0.9708421	0.6503092
0.0	7.032356e-05	0.0014717877	0.00077105564
0.0	0.0008457601	0.00044181943	0.00064378977
0.0	0.00051131845	0.47616866	0.23833999
0.0	0.99694663	0.0033791661	0.5001629
0.0	0.14462763	0.00044688582	0.07253726
0.0	0.9900764	0.94029754	0.96518695
0.0	0.35014954	0.9572394	0.65369445
0.0	0.07428184	0.86193	0.4681059
1.0	0.99292254	0.93697023	0.9649464
1.0	0.9927913	0.94778264	0.97028697
0.0	0.015290618	0.47354826	0.24441944
0.0	0.7111126	0.94263154	0.8268721
1.0	0.99174285	0.9727629	0.98225284
1.0	0.99848175	0.9953846	0.99693316
0.0	0.050677568	0.07506749	0.06287253
0.0	0.95855016	0.936591	0.94757056
0.0	0.07269263	0.06796318	0.07032791
0.0	0.20271361	0.9681775	0.5854455
0.0	0.10327113	0.9306127	0.5169419
0.0	0.68784225	0.97275156	0.8302969
0.0	0.010145903	0.087610304	0.048878103
0.0	0.72993374	0.9874532	0.8586935
1.0	0.057828665	0.39843854	0.2281336
0.0	0.08267605	0.22595635	0.1543162
0.0	0.86765206	0.9854208	0.92653644
0.0	0.98984605	0.99825656	0.99405134
0.0	1.9209986e-06	0.105510026	0.052755974
0.0	0.00187397	0.011176348	0.006525159
0.0	0.99926025	0.99731815	0.9982892
0.0	0.99788815	0.99828446	0.99808633
0.0	0.9612853	0.969602	0.9654436
0.0	0.5202731	0.03619969	0.2782364
1.0	0.9807083	0.98818254	0.98444545
0.0	0.0005354285	0.30232635	0.15143089
1.0	0.8573612	0.99682575	0.9270935
0.0	0.4469426	0.49467516	0.47080886
0.0	0.9989376	0.98792547	0.99343157
0.0	0.24266592	0.9590339	0.6008499
0.0	0.9591181	0.20685515	0.58298665
0.0	0.99595904	0.77706903	0.88651407
0.0	0.9881842	0.9983873	0.9932858
0.0	0.99583155	0.89149296	0.9436623
1.0	0.9895053	0.9269159	0.9582106
0.0	0.9986321	0.985857	0.99224454
1.0	0.75135326	0.252298	0.50182563
1.0	0.9980036	0.98498034	0.991492
0.0	0.0971086	1.7340739e-05	0.04856297
0.0	0.0690355	0.06372902	0.06638226
0.0	0.0018261075	0.6930052	0.34741566
0.0	0.997241	0.9777757	0.98750836
1.0	0.9666263	0.9974423	0.9820343
1.0	0.9781945	0.9776794	0.9779369
0.0	0.85530514	0.98971796	0.9225116
0.0	0.9968475	0.99264205	0.9947448
0.0	0.0010519922	0.705401	0.35322648
0.0	0.14725262	0.07094273	0.109097674
0.0	3.082244e-06	0.9010079	0.4505055
0.0	1.5653724e-06	0.05171427	0.025857918
0.0	0.015834063	0.033144534	0.024489298
0.0	0.0032535195	0.9894376	0.49634555
1.0	0.9994595	0.9908241	0.9951418
0.0	0.942907	0.9082422	0.9255746
0.0	0.607564	0.09634626	0.35195512
0.0	0.00063464046	0.076978326	0.038806483
0.0	0.00013318658	0.07109475	0.03561397
0.0	0.18339315	0.8539864	0.51868975
0.0	0.9220031	0.97623533	0.9491192
0.0	0.70761853	0.95458406	0.8311013
