label	aaindex	blosum	ensemble
0.0	0.9815798	0.9981997	0.98988974
0.0	0.770372	0.7812647	0.77581835
0.0	0.93509245	0.98729134	0.9611919
0.0	0.932142	0.98756623	0.9598541
0.0	0.9553702	0.98812526	0.97174776
1.0	0.9962419	0.99755216	0.99689704
0.0	0.0017881095	0.18989378	0.095840946
0.0	0.002480656	0.0007394552	0.0016100556
0.0	0.87982595	0.114076614	0.49695128
0.0	0.9899546	0.9800304	0.9849925
0.0	0.0663555	0.0011644363	0.033759966
0.0	0.68236387	0.9707854	0.8265746
0.0	0.976766	0.9990779	0.98792195
0.0	0.39260927	0.12470907	0.25865918
1.0	0.99160576	0.99695253	0.99427915
0.0	0.3245424	0.94917035	0.6368564
0.0	0.04972279	0.94568014	0.49770147
0.0	0.027283818	0.00050637126	0.013895094
1.0	0.8907706	0.96209663	0.9264336
0.0	0.051098943	0.5692277	0.31016332
0.0	0.672855	0.11207181	0.39246342
0.0	0.69148207	0.9988131	0.8451476
0.0	0.012866408	0.79300106	0.40293372
0.0	0.0013079643	0.9917211	0.49651453
0.0	0.40817612	0.23288831	0.3205322
1.0	0.8599163	0.99837357	0.929145
0.0	0.7324408	0.26308817	0.4977645
0.0	0.050219297	0.0049369335	0.027578115
0.0	0.22997832	0.7853757	0.507677
0.0	0.9462496	0.9708421	0.95854586
0.0	0.04502678	0.0014717877	0.023249283
0.0	0.27033573	0.00044181943	0.13538878
0.0	0.62499243	0.47616866	0.55058056
0.0	0.41652855	0.0033791661	0.20995386
0.0	0.29489443	0.00044688582	0.14767066
0.0	0.8033873	0.94029754	0.8718424
0.0	0.6714084	0.9572394	0.8143239
0.0	0.40240908	0.86193	0.63216954
1.0	0.93668175	0.93697023	0.936826
1.0	0.97054213	0.94778264	0.95916235
0.0	0.6397934	0.47354826	0.55667084
0.0	0.967505	0.94263154	0.95506823
1.0	0.9603512	0.9727629	0.966557
1.0	0.99322546	0.9953846	0.994305
0.0	0.8767558	0.07506749	0.47591162
0.0	0.98423016	0.936591	0.9604106
0.0	0.7696842	0.06796318	0.4188237
0.0	0.40515363	0.9681775	0.68666553
0.0	0.19295093	0.9306127	0.5617818
