FineTune_last_one	FineTune_last_two	FineTune_last_three
0.9191407	0.95443034	0.9284272
0.82314533	0.49419707	0.8985148
0.95958614	0.9438115	0.9425595
0.32751277	0.3611154	0.46733043
0.48687154	0.66895056	0.8795134
0.1262199	0.68634415	0.6735348
0.19803524	0.6593369	0.58921856
0.85887957	0.5027741	0.9494472
0.9637253	0.63731265	0.9501539
0.33668202	0.46029606	0.38782272
0.18966833	0.49082026	0.14783219
0.28776324	0.121233046	0.12842906
0.0017251074	0.029360414	0.0017568469
0.5350585	0.7719725	0.24444261
0.6196027	0.95271707	0.75187737
0.9496375	0.44534078	0.93497515
0.5319338	0.83510697	0.297549
0.96706057	0.8695018	0.9496654
0.41868824	0.17578527	0.4829153
0.25467753	0.21246034	0.35897022
0.079500884	0.12891081	0.04194066
0.8388361	0.9098238	0.82374096
0.98197436	0.9815111	0.9899492
0.18329814	0.31759354	0.21990317
0.93974	0.90581226	0.97815305
0.29267576	0.56364167	0.20530793
0.05460471	0.19563746	0.029105127
0.99314356	0.97123635	0.9927287
0.151651	0.21941862	0.5427799
0.7658346	0.54109764	0.8311993
0.969934	0.88054657	0.969068
0.83693796	0.9675218	0.92883134
0.9239415	0.975038	0.70608425
0.8070371	0.9249573	0.78244907
0.07981065	0.40805846	0.12548786
0.2983104	0.741029	0.22079977
0.1277582	0.39013034	0.10233101
0.116268754	0.43590578	0.07793391
0.012481391	0.036082387	0.0012014806
0.2046715	0.118679404	0.13390946
0.93769455	0.9735654	0.93790877
0.90452707	0.9711922	0.9211347
0.9896165	0.9847027	0.9333887
0.32595855	0.6599643	0.7097581
0.735384	0.81467354	0.78952336
0.73929566	0.89239323	0.7990287
0.60732144	0.3499874	0.5624489
0.82278264	0.8172159	0.8013525
0.99346817	0.99860406	0.99034584
0.98816264	0.9981836	0.9685401
0.79759836	0.84783065	0.74146384
0.7372839	0.7956382	0.58385587
0.063710004	0.43131733	0.52544576
0.9654442	0.9651966	0.9880576
0.7338432	0.8871826	0.7423325
0.92261755	0.93353146	0.7799393
0.07275912	0.099256635	0.07284805
0.60802805	0.49281216	0.6963334
0.080821276	0.17432341	0.07630128
0.9072087	0.7139563	0.84966755
0.6431642	0.5978801	0.7228021
0.9036896	0.37911186	0.8575176
0.9202031	0.91555506	0.9142976
0.6360593	0.76296544	0.63260895
0.648301	0.9156754	0.84413654
0.892917	0.89996576	0.92344785
0.99391204	0.98757184	0.9968425
0.96827376	0.959821	0.98038864
0.7251837	0.96988124	0.7808239
0.9036476	0.89782953	0.79662526
0.18742663	0.50490844	0.19302836
0.19964719	0.32816952	0.13210785
0.055353016	0.25448334	0.051569164
0.99708486	0.99857783	0.99892795
0.7000515	0.47397056	0.75029397
0.75257087	0.46676016	0.7229071
0.82138383	0.59809595	0.9918335
0.8124206	0.9468261	0.93239236
0.16449726	0.21905777	0.20301688
0.11585766	0.5764698	0.44993955
0.10579705	0.5159799	0.09437299
0.06395832	0.058429122	0.08328202
0.98644745	0.39766303	0.9153177
0.61852515	0.5227183	0.6956287
0.98873425	0.9985916	0.98654246
0.4560286	0.7824534	0.2803349
0.4922361	0.6500452	0.6716838
0.3719323	0.2550703	0.4397854
0.8992438	0.79023135	0.93478763
0.0012781024	0.2932464	0.011424124
0.2522377	0.25812364	0.12949148
0.9849143	0.77020323	0.98589814
0.69112855	0.2299411	0.5617834
0.14521691	0.15231386	0.020736605
0.48788458	0.72519517	0.7109542
0.95467544	0.99869925	0.94476485
0.91749936	0.972478	0.9871988
0.15838954	0.17218539	0.14683554
0.19502652	0.66647196	0.34147507
0.856719	0.61712635	0.826342
